Station,Code,Lat,Long,Elevation,Data Inicial,Data Final,Localidade
Sao Luiz Gonzaga,83907,-28.41722221,-54.9625,245.49,21916,45417,Sao Luiz Gonzaga, Rio Grande do Sul, Brasil
Cruz Alta,83912,-28.6261111,-53.61388888,475.52,21916,45417,Cruz Alta, Rio Grande do Sul, Brasil
Passo Fundo,83914,-28.2286111,-52.41194444,684.05,21916,45417,Passo Fundo, Rio Grande do Sul, Brasil
Lagoa Vermelha,83916,-28.22249999,-51.51277777,833.73,21916,45417,Lagoa Vermelha, Rio Grande do Sul, Brasil
Bom Jesus,83919,-28.66944443,-50.44194444,1047.5,21916,45417,Bom Jesus, Rio Grande do Sul, Brasil
Uruguaiana,83927,-29.83999999,-57.08194443,74.41,21916,43555,Uruguaiana, Rio Grande do Sul, Brasil
Santa Maria,83936,-29.72472221,-53.72055554,103.1,21916,45417,Santa Maria, Rio Grande do Sul, Brasil
Caxias Do Sul,83942,-29.1961111,-51.18638888,750.16,21916,45417,Caxias Do Sul, Rio Grande do Sul, Brasil
Torres,83948,-29.35027777,-49.71666666,4.66,21916,44312,Torres, Rio Grande do Sul, Brasil
Porto Alegre,83967,-30.05361111,-51.17472221,41.18,21916,45417,Porto Alegre, Rio Grande do Sul, Brasil
Bage,83980,-31.30555555,-54.11944443,245.66,21916,45417,Bage, Rio Grande do Sul, Brasil
Pelotas,83985,-31.78333333,-52.41666666,13,21916,45417,Pelotas, Rio Grande do Sul, Brasil
Santa Vitoria,83997,-33.53166666,-53.35027777,24.01,21916,45417,Santa Vitoria, Rio Grande do Sul, Brasil
Irai,83881,-27.189451,-53.253338,255.39,21916,43312,Irai, Rio Grande do Sul, Brasil
